query,metric,zone,path,sample_count,sample_coverage_ratio,first,last,min,max,mean,median,p95,observed_counter_delta,counter_resets,labels_json
kepler_node,kepler_node_cpu_active_joules_total,core,aggregated-core,100,1.0,63.642979,1595.071284,63.642979,1595.071284,856.65925139,851.831075,1564.78249185,1531.4283050000001,0,"{""__name__"": ""kepler_node_cpu_active_joules_total"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""path"": ""aggregated-core"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler"", ""zone"": ""core""}"
kepler_node,kepler_node_cpu_active_joules_total,package,aggregated-package,100,1.0,71959.868968,115404.00205,71959.868968,115404.00205,93575.36284640999,93583.63848950001,114621.0133474,43444.133082,0,"{""__name__"": ""kepler_node_cpu_active_joules_total"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""path"": ""aggregated-package"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler"", ""zone"": ""package""}"
kepler_node,kepler_node_cpu_active_watts,core,aggregated-core,100,1.0,0.00018378587185661257,0.000174833928186575,0.00015760516461511929,2.3860454213559508,1.4875884318936108,1.207034416774922,2.340730095350024,,0,"{""__name__"": ""kepler_node_cpu_active_watts"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""path"": ""aggregated-core"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler"", ""zone"": ""core""}"
kepler_node,kepler_node_cpu_active_watts,package,aggregated-package,100,1.0,0.6675362820210146,0.6394762059402634,0.6227370871903272,47.93530949271485,43.032201871320034,46.9109441954629,47.31937356809906,,0,"{""__name__"": ""kepler_node_cpu_active_watts"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""path"": ""aggregated-package"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler"", ""zone"": ""package""}"
kepler_node,kepler_node_cpu_idle_joules_total,core,aggregated-core,100,1.0,13391.034034,17826.969828,13391.034034,17826.969828,15703.555448100002,15689.847137,17738.954322600002,4435.935794000001,0,"{""__name__"": ""kepler_node_cpu_idle_joules_total"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""path"": ""aggregated-core"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler"", ""zone"": ""core""}"
kepler_node,kepler_node_cpu_idle_joules_total,package,aggregated-package,100,1.0,7188162.269582,7320252.077907,7188162.269582,7320252.077907,7254321.20281783,7254342.2828175,7314845.968437,132089.8083250001,0,"{""__name__"": ""kepler_node_cpu_idle_joules_total"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""path"": ""aggregated-package"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler"", ""zone"": ""package""}"
kepler_node,kepler_node_cpu_idle_watts,core,aggregated-core,100,1.0,0.027187556545620075,0.027656589731774615,0.020216518151943575,8.204476057318233,4.3743758032843845,3.5033440695235543,6.782525455022833,,0,"{""__name__"": ""kepler_node_cpu_idle_watts"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""path"": ""aggregated-core"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler"", ""zone"": ""core""}"
kepler_node,kepler_node_cpu_idle_watts,package,aggregated-package,100,1.0,98.7490508947211,101.15731685699045,98.7490508947211,166.93554190608262,133.63429115904313,136.07983403860533,136.6654115556307,,0,"{""__name__"": ""kepler_node_cpu_idle_watts"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""path"": ""aggregated-package"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler"", ""zone"": ""package""}"
kepler_node,kepler_node_cpu_joules_total,core,aggregated-core,100,1.0,13454.677013,19422.041112,13454.677013,19422.041112,16560.21469949,16541.678212,19303.73681445,5967.3640989999985,0,"{""__name__"": ""kepler_node_cpu_joules_total"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""path"": ""aggregated-core"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler"", ""zone"": ""core""}"
kepler_node,kepler_node_cpu_joules_total,package,aggregated-package,100,1.0,51534.92998,96003.649413,52.916391,129289.0726,67223.48500854,69212.7328495,120219.9247537,173757.7920330001,1,"{""__name__"": ""kepler_node_cpu_joules_total"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""path"": ""aggregated-package"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler"", ""zone"": ""package""}"
kepler_node,kepler_node_cpu_usage_ratio,,,100,1.0,0.006714536285924534,0.006281889504563662,0.006069927765065921,0.26113911977245696,0.235649761164792,0.2562956338569534,0.2581391023660098,,0,"{""__name__"": ""kepler_node_cpu_usage_ratio"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler""}"
kepler_node,kepler_node_cpu_watts,core,aggregated-core,100,1.0,0.02737134241747669,0.02783142365996119,0.020374123316558697,9.168375699704217,5.861964235177996,4.712861681474115,9.111644282004708,,0,"{""__name__"": ""kepler_node_cpu_watts"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""path"": ""aggregated-core"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler"", ""zone"": ""core""}"
