NAMESPACE       NAME                                                         CPU(cores)   MEMORY(bytes)   
kepler          kepler-5k5h5                                                 112m         33Mi            
kube-system     cern-magnum-ceph-csi-cephfs-nodeplugin-tl8g6                 1m           26Mi            
kube-system     cern-magnum-ceph-csi-cephfs-nodeplugin-wjmdz                 1m           27Mi            
kube-system     cern-magnum-ceph-csi-cephfs-nodeplugin-z5lms                 1m           21Mi            
kube-system     cern-magnum-ceph-csi-cephfs-provisioner-7d5cbf4d-8m57h       2m           68Mi            
kube-system     cern-magnum-coredns-autoscaler-5f4cd89bfb-hlr6t              1m           22Mi            
kube-system     cern-magnum-coredns-f98cf4d8f-6rcxd                          1m           18Mi            
kube-system     cern-magnum-coredns-f98cf4d8f-bt24v                          1m           14Mi            
kube-system     cern-magnum-cvmfs-csi-controllerplugin-5cfdfbf967-nnvsk      2m           31Mi            
kube-system     cern-magnum-cvmfs-csi-nodeplugin-5tbjk                       1m           13Mi            
kube-system     cern-magnum-cvmfs-csi-nodeplugin-dgh7w                       1m           15Mi            
kube-system     cern-magnum-cvmfs-csi-nodeplugin-jsm4k                       1m           22Mi            
kube-system     cern-magnum-eosxd-csi-controllerplugin-69598d98bf-njd87      1m           22Mi            
kube-system     cern-magnum-eosxd-csi-nodeplugin-lplhp                       1m           18Mi            
kube-system     cern-magnum-eosxd-csi-nodeplugin-w9st8                       0m           24Mi            
kube-system     cern-magnum-falco-g5zfm                                      19m          164Mi           
kube-system     cern-magnum-falco-vptwj                                      12m          70Mi            
kube-system     cern-magnum-falco-zbjrb                                      44m          345Mi           
kube-system     cern-magnum-kubernetes-dashboard-dbb9bcdcb-wkbz9             1m           38Mi            
kube-system     cern-magnum-metrics-server-8494c47fc4-jc94w                  2m           29Mi            
kube-system     cern-magnum-node-feature-discovery-gc-b5474c7f-crwjd         1m           10Mi            
kube-system     cern-magnum-node-feature-discovery-master-5d76b8f7b7-jxdfh   1m           22Mi            
kube-system     cern-magnum-node-feature-discovery-worker-5l2g7              0m           27Mi            
kube-system     cern-magnum-node-feature-discovery-worker-hl9l7              0m           22Mi            
kube-system     cern-magnum-node-problem-detector-47lr6                      1m           10Mi            
kube-system     cern-magnum-node-problem-detector-n5lmb                      1m           8Mi             
kube-system     cern-magnum-node-problem-detector-pxtnb                      1m           17Mi            
kube-system     cern-magnum-openstack-manila-csi-controllerplugin-0          2m           38Mi            
kube-system     cern-magnum-openstack-manila-csi-nodeplugin-dbj7t            1m           15Mi            
kube-system     cern-magnum-openstack-manila-csi-nodeplugin-q9tfj            1m           19Mi            
kube-system     cern-magnum-snapshot-controller-8bcb455d9-dbpcd              1m           15Mi            
kube-system     cilium-4ccl7                                                 14m          287Mi           
kube-system     cilium-envoy-kwwkj                                           2m           15Mi            
kube-system     cilium-envoy-vzrgm                                           18m          34Mi            
kube-system     cilium-envoy-zmbcb                                           1m           23Mi            
kube-system     cilium-fqr2k                                                 32m          1296Mi          
kube-system     cilium-operator-86f6bf86cd-bw2pz                             2m           39Mi            
kube-system     cilium-tlh8q                                                 17m          264Mi           
kube-system     hubble-relay-569798c66d-sf6t6                                1m           27Mi            
kube-system     hubble-ui-86b57b5ff4-zxccm                                   1m           12Mi            
kube-system     openstack-cloud-controller-manager-9zpnr                     2m           22Mi            
magnum-tiller   tiller-deploy-bb9b8499c-7t6r4                                1m           9Mi             
monitoring      alertmanager-monitoring-kube-prometheus-alertmanager-0       1m           39Mi            
monitoring      monitoring-grafana-68bc6447f8-sj5nf                          6m           200Mi           
monitoring      monitoring-kube-prometheus-operator-8458f8fc84-7lmfg         2m           31Mi            
monitoring      monitoring-kube-state-metrics-6fc7c5567d-cvdmz               1m           65Mi            
monitoring      monitoring-prometheus-node-exporter-phpxg                    2m           12Mi            
monitoring      monitoring-prometheus-node-exporter-rxjld                    9m           17Mi            
monitoring      monitoring-prometheus-node-exporter-sxb6r                    2m           20Mi            
monitoring      prometheus-monitoring-kube-prometheus-prometheus-0           78m          534Mi           
